,Date,Open,High,Low,Close,Adj Close,Volume,Measure
1687,1996-09-03,31100,31400.0,31000.0,31300.0,31300.0,7000,0.3571428571428571
1688,1996-09-04,31500,31550.0,31500.0,31550.0,31550.0,3000,0.3571428571428571
1689,1996-09-05,31400,31500.0,31400.0,31500.0,31500.0,2000,0.3571428571428571
1690,1996-09-06,31500,31700.0,31500.0,31700.0,31700.0,8000,0.3571428571428571
1691,1996-09-09,31700,32200.0,31700.0,32100.0,32100.0,27000,0.3571428571428571
1692,1996-09-10,32000,32000.0,31700.0,31700.0,31700.0,8000,0.3571428571428571
1693,1996-09-11,31800,32000.0,31800.0,32000.0,32000.0,7000,0.3571428571428571
1694,1996-09-12,32000,32050.0,32000.0,32000.0,32000.0,8000,0.3571428571428571
1695,1996-09-13,32200,32400.0,32150.0,32150.0,32150.0,16000,0.3571428571428571
1696,1996-09-16,32300,32800.0,32100.0,32800.0,32800.0,33000,0.3571428571428571
1697,1996-09-17,32600,32700.0,32200.0,32700.0,32700.0,15000,0.3571428571428571
1698,1996-09-18,32600,32600.0,32500.0,32600.0,32600.0,12000,0.3571428571428571
1699,1996-09-19,32500,32700.0,32400.0,32700.0,32700.0,13000,0.3571428571428571
1700,1996-09-20,32800,32800.0,32800.0,32800.0,32800.0,3000,0.3571428571428571
1701,1996-09-23,32600,32600.0,32500.0,32500.0,32500.0,3000,0.3571428571428571
1702,1996-09-24,32500,32500.0,32200.0,32400.0,32400.0,7000,0.3571428571428571
1703,1996-09-25,32300,32350.0,32300.0,32350.0,32350.0,4000,0.3571428571428571
1704,1996-09-26,32300,32300.0,32200.0,32200.0,32200.0,11000,0.3571428571428571
1705,1996-09-27,32100,32200.0,32100.0,32200.0,32200.0,4000,0.3571428571428571
1706,1996-09-30,32200,32300.0,32150.0,32150.0,32150.0,7000,0.3571428571428571
1707,1996-10-01,32100,32100.0,32000.0,32000.0,32000.0,9000,0.3571428571428571
1708,1996-10-02,32100,32200.0,32000.0,32100.0,32100.0,18000,0.3571428571428571
1709,1996-10-03,32200,32200.0,32100.0,32100.0,32100.0,9000,0.3571428571428571
1710,1996-10-04,32100,32200.0,32100.0,32200.0,32200.0,38000,0.3571428571428571
1711,1996-10-07,32200,32200.0,32000.0,32000.0,32000.0,12000,0.3571428571428571
1712,1996-10-08,31900,32000.0,31800.0,31900.0,31900.0,16000,0.3571428571428571
1713,1996-10-09,31800,32100.0,31750.0,31900.0,31900.0,21000,0.3571428571428571
1714,1996-10-10,31800,31900.0,31800.0,31900.0,31900.0,5000,0.3571428571428571
1715,1996-10-11,32000,32100.0,32000.0,32100.0,32100.0,14000,0.3571428571428571
1716,1996-10-14,32000,32000.0,31900.0,31900.0,31900.0,12000,0.3571428571428571
1717,1996-10-15,31800,31800.0,31500.0,31700.0,31700.0,144000,0.3571428571428571
1718,1996-10-16,31800,32300.0,31800.0,32300.0,32300.0,19000,0.3571428571428571
1719,1996-10-17,32300,32500.0,32300.0,32500.0,32500.0,13000,0.3571428571428571
1720,1996-10-18,32600,32700.0,32500.0,32500.0,32500.0,9000,0.3571428571428571
1721,1996-10-21,32500,32500.0,32200.0,32300.0,32300.0,7000,0.3571428571428571
1722,1996-10-22,32500,32700.0,32500.0,32600.0,32600.0,22000,0.3571428571428571
1723,1996-10-23,32400,32400.0,32200.0,32400.0,32400.0,10000,0.3571428571428571
1724,1996-10-24,32500,32600.0,32500.0,32600.0,32600.0,4000,0.3571428571428571
1725,1996-10-25,32700,32800.0,32700.0,32700.0,32700.0,5000,0.3571428571428571
1726,1996-10-28,32700,32700.0,32550.0,32550.0,32550.0,9000,0.3571428571428571
1727,1996-10-29,32400,32450.0,32300.0,32400.0,32400.0,41000,0.3571428571428571
1728,1996-10-30,32350,32450.0,32350.0,32450.0,32450.0,3000,0.3571428571428571
1729,1996-10-31,32350,32400.0,32350.0,32400.0,32400.0,4000,0.3571428571428571
1730,1996-11-01,32600,32600.0,32350.0,32350.0,32350.0,5000,0.3571428571428571
1731,1996-11-04,32300,32500.0,32300.0,32350.0,32350.0,7000,0.3571428571428571
1732,1996-11-05,32700,33100.0,32700.0,33000.0,33000.0,29000,0.3571428571428571
1733,1996-11-06,33100,33200.0,32700.0,32900.0,32900.0,15000,0.3571428571428571
1734,1996-11-07,32900,33000.0,32800.0,32800.0,32800.0,14000,0.3571428571428571
1735,1996-11-08,32800,32900.0,32700.0,32900.0,32900.0,8000,0.3571428571428571
1736,1996-11-11,32800,33100.0,32800.0,33100.0,33100.0,25000,0.3571428571428571
1737,1996-11-12,33200,33700.0,33200.0,33500.0,33500.0,24000,0.3571428571428571
1738,1996-11-13,33800,33900.0,33200.0,33300.0,33300.0,38000,0.3571428571428571
1739,1996-11-14,33400,33400.0,33400.0,33400.0,33400.0,1000,0.3571428571428571
1740,1996-11-15,33300,33300.0,32900.0,33000.0,33000.0,15000,0.3571428571428571
1741,1996-11-18,33000,33200.0,33000.0,33200.0,33200.0,20000,0.3571428571428571
1742,1996-11-19,33200,33400.0,33200.0,33400.0,33400.0,5000,0.3571428571428571
1743,1996-11-20,33400,33400.0,33400.0,33400.0,33400.0,1000,0.3571428571428571
1744,1996-11-21,33400,33400.0,33200.0,33200.0,33200.0,5000,0.3571428571428571
1745,1996-11-22,33300,33300.0,33100.0,33200.0,33200.0,7000,0.3571428571428571
1746,1996-11-25,33000,33200.0,33000.0,33200.0,33200.0,17000,0.3571428571428571
1747,1996-11-26,33100,33100.0,32700.0,32700.0,32700.0,52000,0.3571428571428571
1748,1996-11-27,32700,33200.0,32700.0,33200.0,33200.0,10000,0.3571428571428571
1749,1996-11-29,33000,33200.0,33000.0,33200.0,33200.0,6000,0.3571428571428571
1750,1996-12-02,33200,33400.0,33100.0,33300.0,33300.0,19000,0.3571428571428571
1751,1996-12-03,33200,33200.0,32900.0,33000.0,33000.0,10000,0.3571428571428571
1752,1996-12-04,32800,32800.0,32700.0,32700.0,32700.0,7000,0.3571428571428571
1753,1996-12-05,32600,32800.0,32600.0,32800.0,32800.0,8000,0.3571428571428571
1754,1996-12-06,32600,32900.0,32200.0,32600.0,32600.0,20000,0.3571428571428571
1755,1996-12-09,33000,33200.0,33000.0,33200.0,33200.0,17000,0.3571428571428571
1756,1996-12-10,33200,33400.0,33200.0,33200.0,33200.0,22000,0.3571428571428571
1757,1996-12-11,33100,33500.0,33100.0,33300.0,33300.0,20000,0.3571428571428571
1758,1996-12-12,33400,33500.0,33000.0,33100.0,33100.0,24000,0.3571428571428571
1759,1996-12-13,32900,33100.0,32900.0,33000.0,33000.0,12000,0.3571428571428571
1760,1996-12-16,32900,33100.0,32900.0,32900.0,32900.0,18000,0.3571428571428571
1761,1996-12-17,32700,32800.0,32600.0,32700.0,32700.0,30000,0.3571428571428571
1762,1996-12-18,32900,33100.0,32900.0,33100.0,33100.0,13000,0.3571428571428571
1763,1996-12-19,33200,33600.0,33100.0,33600.0,33600.0,24000,0.3571428571428571
1764,1996-12-20,33400,33700.0,33400.0,33510.0,33510.0,34000,0.3571428571428571
1765,1996-12-23,33300,33300.0,33100.0,33100.0,33100.0,5000,0.3571428571428571
1766,1996-12-24,33100,33600.0,33100.0,33600.0,33600.0,20000,0.3571428571428571
1767,1996-12-26,33700,36500.0,33700.0,34700.0,34700.0,53000,0.3571428571428571
1768,1996-12-27,34600,34600.0,34500.0,34600.0,34600.0,7000,0.3571428571428571
1769,1996-12-30,34500,34600.0,34100.0,34400.0,34400.0,19000,0.3571428571428571
1770,1996-12-31,34400,34400.0,34000.0,34100.0,34100.0,29000,0.3571428571428571
1771,1997-01-02,33900,33900.0,33200.0,33400.0,33400.0,21000,0.2195121951219512
1772,1997-01-03,33400,33800.0,33400.0,33700.0,33700.0,19000,0.2195121951219512
1773,1997-01-06,33600,33600.0,33500.0,33500.0,33500.0,5000,0.2195121951219512
1774,1997-01-07,33400,33400.0,33200.0,33200.0,33200.0,14000,0.2195121951219512
1775,1997-01-08,33500,33500.0,33000.0,33300.0,33300.0,20000,0.2195121951219512
1776,1997-01-09,33300,33700.0,33300.0,33700.0,33700.0,17000,0.2195121951219512
1777,1997-01-10,33500,33650.0,33400.0,33650.0,33650.0,15000,0.2195121951219512
1778,1997-01-13,33450,33600.0,33300.0,33300.0,33300.0,19000,0.2195121951219512
1779,1997-01-14,33500,34800.0,33500.0,34300.0,34300.0,41000,0.2195121951219512
1780,1997-01-15,34200,34500.0,34000.0,34300.0,34300.0,24000,0.2195121951219512
1781,1997-01-16,34500,34500.0,34300.0,34300.0,34300.0,17000,0.2195121951219512
1782,1997-01-17,34305,34700.0,34305.0,34700.0,34700.0,23000,0.2195121951219512
1783,1997-01-20,34600,34850.0,34300.0,34650.0,34650.0,19000,0.2195121951219512
1784,1997-01-21,34700,34800.0,34500.0,34700.0,34700.0,29000,0.2195121951219512
1785,1997-01-22,34800,35100.0,34600.0,34900.0,34900.0,24000,0.2195121951219512
1786,1997-01-23,34700,34900.0,34500.0,34500.0,34500.0,17000,0.2195121951219512
1787,1997-01-24,34400,34400.0,34000.0,34100.0,34100.0,27000,0.2195121951219512
1788,1997-01-27,34100,34300.0,33900.0,33900.0,33900.0,12000,0.2195121951219512
1789,1997-01-28,34100,34200.0,33900.0,33900.0,33900.0,24000,0.2195121951219512
1790,1997-01-29,34000,34800.0,34000.0,34800.0,34800.0,13000,0.2195121951219512
1791,1997-01-30,34800,34900.0,34600.0,34600.0,34600.0,8000,0.2195121951219512
1792,1997-01-31,34400,34800.0,34400.0,34800.0,34800.0,12000,0.2195121951219512
1793,1997-02-03,34700,34800.0,34500.0,34800.0,34800.0,11000,0.2195121951219512
1794,1997-02-04,34800,35000.0,34800.0,34900.0,34900.0,8000,0.2195121951219512
1795,1997-02-05,35100,35800.0,35100.0,35300.0,35300.0,26000,0.2195121951219512
1796,1997-02-06,35400,35400.0,35100.0,35200.0,35200.0,5000,0.2195121951219512
1797,1997-02-07,35400,36000.0,35400.0,35800.0,35800.0,46000,0.2195121951219512
1798,1997-02-10,35900,36000.0,35900.0,36000.0,36000.0,4000,0.2195121951219512
1799,1997-02-11,36000,36000.0,35700.0,35800.0,35800.0,5000,0.2195121951219512
1800,1997-02-12,35600,36500.0,35600.0,36400.0,36400.0,21000,0.2195121951219512
1801,1997-02-13,36800,37400.0,36800.0,37000.0,37000.0,27000,0.2195121951219512
1802,1997-02-14,37000,37000.0,36400.0,36400.0,36400.0,13000,0.2195121951219512
1803,1997-02-18,36100,36100.0,35700.0,35700.0,35700.0,20000,0.2195121951219512
1804,1997-02-19,36000,36300.0,35600.0,36300.0,36300.0,78000,0.2195121951219512
1805,1997-02-20,36500,36500.0,35900.0,35900.0,35900.0,11000,0.2195121951219512
1806,1997-02-21,36000,36300.0,35800.0,36000.0,36000.0,16000,0.2195121951219512
1807,1997-02-24,36000,36100.0,35900.0,36100.0,36100.0,5000,0.2195121951219512
1808,1997-02-25,36200,36200.0,36000.0,36200.0,36200.0,11000,0.2195121951219512
1809,1997-02-26,36200,36200.0,36000.0,36000.0,36000.0,9000,0.2195121951219512
1810,1997-02-27,35900,36000.0,35800.0,35900.0,35900.0,9000,0.2195121951219512
1811,1997-02-28,35500,35550.0,35350.0,35500.0,35500.0,13000,0.2195121951219512
1812,1997-03-03,35400,36000.0,35400.0,36000.0,36000.0,17000,0.2195121951219512
1813,1997-03-04,36000,36100.0,35800.0,35800.0,35800.0,7000,0.2195121951219512
1814,1997-03-05,35900,36300.0,35900.0,36300.0,36300.0,6000,0.2195121951219512
1815,1997-03-06,36500,37600.0,36300.0,36400.0,36400.0,27000,0.2195121951219512
1816,1997-03-07,37000,37400.0,36900.0,37300.0,37300.0,20000,0.2195121951219512
1817,1997-03-10,37200,37300.0,36800.0,37300.0,37300.0,22000,0.2195121951219512
1818,1997-03-11,37200,37200.0,36900.0,37200.0,37200.0,13000,0.2195121951219512
1819,1997-03-12,37300,37700.0,37300.0,37300.0,37300.0,20000,0.2195121951219512
1820,1997-03-13,37200,37200.0,36800.0,36800.0,36800.0,9000,0.2195121951219512
1821,1997-03-14,36900,37300.0,36900.0,36900.0,36900.0,8000,0.2195121951219512
1822,1997-03-17,36700,36700.0,36200.0,36400.0,36400.0,37000,0.2195121951219512
1823,1997-03-18,36300,36500.0,36000.0,36200.0,36200.0,28000,0.2195121951219512
1824,1997-03-19,36200,37300.0,36200.0,37300.0,37300.0,20000,0.2195121951219512
1825,1997-03-20,37000,37300.0,37000.0,37100.0,37100.0,9000,0.2195121951219512
1826,1997-03-21,37200,37400.0,37200.0,37400.0,37400.0,21000,0.2195121951219512
1827,1997-03-24,37400,37400.0,36600.0,37100.0,37100.0,20000,0.2195121951219512
1828,1997-03-25,37000,37800.0,36900.0,37600.0,37600.0,29000,0.2195121951219512
1829,1997-03-26,37700,37700.0,37700.0,37700.0,37700.0,13000,0.2195121951219512
1830,1997-03-27,37800,37900.0,37300.0,37300.0,37300.0,18000,0.2195121951219512
1831,1997-03-31,37500,37500.0,36200.0,36200.0,36200.0,42000,0.2195121951219512
1832,1997-04-01,36400,36400.0,36200.0,36400.0,36400.0,13000,0.2195121951219512
1833,1997-04-02,36400,36400.0,36100.0,36100.0,36100.0,18000,0.2195121951219512
1834,1997-04-03,36000,36200.0,35900.0,36000.0,36000.0,7000,0.2195121951219512
1835,1997-04-04,36100,36700.0,36000.0,36600.0,36600.0,14000,0.2195121951219512
1836,1997-04-07,36700,37800.0,36700.0,37700.0,37700.0,37000,0.2195121951219512
1837,1997-04-08,37500,37700.0,37500.0,37600.0,37600.0,16000,0.2195121951219512
1838,1997-04-09,37300,37300.0,36600.0,37000.0,37000.0,58000,0.2195121951219512
1839,1997-04-10,37100,37300.0,37100.0,37300.0,37300.0,12000,0.2195121951219512
1840,1997-04-11,37300,37300.0,36300.0,36800.0,36800.0,24000,0.2195121951219512
1841,1997-04-14,36900,37200.0,36600.0,37100.0,37100.0,23000,0.2195121951219512
1842,1997-04-15,37300,37600.0,37300.0,37600.0,37600.0,36000,0.2195121951219512
1843,1997-04-16,37500,37800.0,37300.0,37800.0,37800.0,16000,0.2195121951219512
1844,1997-04-17,37800,37900.0,37700.0,37700.0,37700.0,9000,0.2195121951219512
1845,1997-04-18,37700,37900.0,37400.0,37900.0,37900.0,19000,0.2195121951219512
1846,1997-04-21,37900,37900.0,37700.0,37700.0,37700.0,3000,0.2195121951219512
1847,1997-04-22,37600,37900.0,37600.0,37600.0,37600.0,53000,0.2195121951219512
1848,1997-04-23,37800,37900.0,37700.0,37700.0,37700.0,13000,0.2195121951219512
1849,1997-04-24,37700,37800.0,37600.0,37600.0,37600.0,26000,0.2195121951219512
1850,1997-04-25,37500,37750.0,37500.0,37750.0,37750.0,4000,0.2195121951219512
1851,1997-04-28,37800,37900.0,37600.0,37900.0,37900.0,23000,0.2195121951219512
1852,1997-04-29,38000,38500.0,37900.0,38000.0,38000.0,31000,0.2195121951219512
1853,1997-04-30,38000,38000.0,37900.0,38000.0,38000.0,20000,0.2195121951219512
1854,1997-05-01,38000,38000.0,37700.0,37700.0,37700.0,33000,0.2195121951219512
1855,1997-05-02,37700,38000.0,37700.0,38000.0,38000.0,22000,0.2195121951219512
1856,1997-05-05,38100,39100.0,38100.0,39000.0,39000.0,15000,0.2195121951219512
1857,1997-05-06,39400,39700.0,39400.0,39500.0,39500.0,23000,0.2195121951219512
1858,1997-05-07,39500,39500.0,39000.0,39000.0,39000.0,11000,0.2195121951219512
1859,1997-05-08,38700,39800.0,38700.0,39600.0,39600.0,31000,0.2195121951219512
1860,1997-05-09,39500,39600.0,39300.0,39400.0,39400.0,8000,0.2195121951219512
1861,1997-05-12,39600,39800.0,39300.0,39700.0,39700.0,34000,0.2195121951219512
1862,1997-05-13,39700,39900.0,39700.0,39900.0,39900.0,12000,0.2195121951219512
1863,1997-05-14,39900,40100.0,39900.0,39900.0,39900.0,20000,0.2195121951219512
1864,1997-05-15,39800,39800.0,39700.0,39700.0,39700.0,13000,0.2195121951219512
1865,1997-05-16,39900,40000.0,39700.0,40000.0,40000.0,16000,0.2195121951219512
1866,1997-05-19,39900,40100.0,39900.0,40000.0,40000.0,9000,0.2195121951219512
1867,1997-05-20,40000,40300.0,39600.0,40300.0,40300.0,25000,0.2195121951219512
1868,1997-05-21,40500,41400.0,40500.0,41400.0,41400.0,15000,0.2195121951219512
1869,1997-05-22,42000,42200.0,42000.0,42100.0,42100.0,33000,0.2195121951219512
1870,1997-05-23,42200,43000.0,42200.0,42700.0,42700.0,37000,0.2195121951219512
1871,1997-05-27,42700,44100.0,42700.0,43000.0,43000.0,51000,0.2195121951219512
1872,1997-05-28,43000,43000.0,42600.0,42600.0,42600.0,19000,0.2195121951219512
1873,1997-05-29,42400,42500.0,42100.0,42300.0,42300.0,14000,0.2195121951219512
1874,1997-05-30,42200,43000.0,42200.0,43000.0,43000.0,8000,0.2195121951219512
1875,1997-06-02,43200,43600.0,43000.0,43000.0,43000.0,31000,0.2195121951219512
1876,1997-06-03,43000,43000.0,42800.0,42800.0,42800.0,7000,0.2195121951219512
1877,1997-06-04,43100,43600.0,43100.0,43500.0,43500.0,16000,0.2195121951219512
1878,1997-06-05,43700,44600.0,43700.0,44600.0,44600.0,15000,0.2195121951219512
1879,1997-06-06,44800,45800.0,44800.0,45400.0,45400.0,32000,0.2195121951219512
1880,1997-06-09,45700,46200.0,45700.0,46000.0,46000.0,23000,0.2195121951219512
1881,1997-06-10,46400,47000.0,46100.0,46900.0,46900.0,39000,0.2195121951219512
1882,1997-06-11,47000,47300.0,46900.0,47005.0,47005.0,37000,0.2195121951219512
1883,1997-06-12,47400,47600.0,47100.0,47500.0,47500.0,28000,0.2195121951219512
1884,1997-06-13,48000,48600.0,47900.0,48600.0,48600.0,32000,0.2195121951219512
1885,1997-06-16,48100,48100.0,45500.0,46100.0,46100.0,58000,0.2195121951219512
1886,1997-06-17,46300,46600.0,46000.0,46400.0,46400.0,20000,0.2195121951219512
1887,1997-06-18,46700,47400.0,46600.0,47400.0,47400.0,17000,0.2195121951219512
1888,1997-06-19,47800,47900.0,47700.0,47900.0,47900.0,16000,0.2195121951219512
1889,1997-06-20,47900,47900.0,47000.0,47000.0,47000.0,19000,0.2195121951219512
1890,1997-06-23,47100,47400.0,47100.0,47400.0,47400.0,4000,0.2195121951219512
1891,1997-06-24,47500,47900.0,47500.0,47800.0,47800.0,19000,0.2195121951219512
1892,1997-06-25,47900,47900.0,47700.0,47700.0,47700.0,23000,0.2195121951219512
1893,1997-06-26,47800,47800.0,47400.0,47500.0,47500.0,11000,0.2195121951219512
1894,1997-06-27,47700,47700.0,47500.0,47600.0,47600.0,6000,0.2195121951219512
1895,1997-06-30,47500,47500.0,47000.0,47200.0,47200.0,12000,0.2195121951219512
1896,1997-07-01,47400,47400.0,47200.0,47400.0,47400.0,11000,0.2195121951219512
1897,1997-07-02,47500,47600.0,47500.0,47600.0,47600.0,10000,0.2195121951219512
1898,1997-07-03,47400,47400.0,47100.0,47200.0,47200.0,7000,0.2195121951219512
1899,1997-07-07,47500,47500.0,47100.0,47500.0,47500.0,9000,0.2195121951219512
1900,1997-07-08,47600,47700.0,47400.0,47700.0,47700.0,12000,0.2195121951219512
1901,1997-07-09,47600,47600.0,47400.0,47400.0,47400.0,9000,0.2195121951219512
1902,1997-07-10,47500,47500.0,47000.0,47100.0,47100.0,12000,0.2195121951219512
1903,1997-07-11,46900,47200.0,46900.0,47100.0,47100.0,12000,0.2195121951219512
1904,1997-07-14,46800,46800.0,46000.0,46400.0,46400.0,22000,0.2195121951219512
1905,1997-07-15,46500,46500.0,46200.0,46400.0,46400.0,6000,0.2195121951219512
1906,1997-07-16,46700,48300.0,46700.0,47800.0,47800.0,28000,0.2195121951219512
1907,1997-07-17,47805,47805.0,47100.0,47200.0,47200.0,10000,0.2195121951219512
1908,1997-07-18,47000,47000.0,46200.0,46400.0,46400.0,10000,0.2195121951219512
1909,1997-07-21,46500,47200.0,46500.0,47200.0,47200.0,19000,0.2195121951219512
1910,1997-07-22,47500,48100.0,47200.0,48100.0,48100.0,13000,0.2195121951219512
1911,1997-07-23,48100,48100.0,47600.0,47700.0,47700.0,7000,0.2195121951219512
1912,1997-07-24,47600,47700.0,47500.0,47700.0,47700.0,5000,0.2195121951219512
1913,1997-07-25,47700,47700.0,47700.0,47700.0,47700.0,1000,0.2195121951219512
1914,1997-07-28,47800,47800.0,47600.0,47600.0,47600.0,6000,0.2195121951219512
1915,1997-07-29,47500,47700.0,47300.0,47700.0,47700.0,10000,0.2195121951219512
1916,1997-07-30,47800,48000.0,47600.0,47700.0,47700.0,14000,0.2195121951219512
1917,1997-07-31,47500,47500.0,47200.0,47200.0,47200.0,13000,0.2195121951219512
1918,1997-08-01,47500,47500.0,47400.0,47500.0,47500.0,11000,0.2195121951219512
1919,1997-08-04,47600,47600.0,47300.0,47300.0,47300.0,6000,0.2195121951219512
1920,1997-08-05,47100,47200.0,47100.0,47200.0,47200.0,6000,0.2195121951219512
1921,1997-08-06,47400,47400.0,47000.0,47000.0,47000.0,13000,0.2195121951219512
1922,1997-08-07,47200,47200.0,46900.0,46900.0,46900.0,4000,0.2195121951219512
1923,1997-08-08,46600,46600.0,45500.0,45500.0,45500.0,22000,0.2195121951219512
1924,1997-08-11,45300,45300.0,44000.0,44700.0,44700.0,30000,0.2195121951219512
1925,1997-08-12,44600,44600.0,44400.0,44600.0,44600.0,10000,0.2195121951219512
1926,1997-08-13,44700,44700.0,44300.0,44600.0,44600.0,10000,0.2195121951219512
1927,1997-08-14,44700,44700.0,44600.0,44700.0,44700.0,8000,0.2195121951219512
1928,1997-08-15,44400,44800.0,44000.0,44600.0,44600.0,32000,0.2195121951219512
